VEHICLE_ID,MODEL_NAME,VARIANT,EMISSION_STANDARD,FUEL,COLOUR,VEHICLE_CLASS,MAKE_YEAR,SEAT_CAPACITY,IS_ELECTRIC
abb3b52c583715fc8c72c7b439474f312cdb24373b2fc05aac1f5684afd981bb,HF,DELUXE (I3S-SELF-DRUM-CAST) BSIV,BSIV,PETROL,RBK,MOTOR CYCLE,01/04/2018,2,false
abb844eaa6b8a535bb5e445bf684f6d7037ff48c09cb6d45263db1e2db243d34,CT,100 ES BSIV,BSIV,PETROL,EBONY BLK BLUE DKL,MOTOR CYCLE,01/12/2018,2,false
abc8d1abc0c938e3f79a74d2ceb03415e233a74521e13abf0ca205d87b52139e,AVENGER,220-CRUISE BSIV,BSIV,PETROL,UG AUBURN BLACK,MOTOR CYCLE,01/09/2018,2,false
abd0db1b12a9bd6a903625df3e6e945b5e909ffa635040ed6fd583f1ef04d3ac,GIXXER,SF FI BSIV,BSIV,PETROL,BLACK,MOTOR CYCLE,01/09/2018,2,false
abd8398882c437a7cfe249aa0759327b9479618295e049c383a6c27fd065200c,MARUTI,ALTO K10-VXI BSIV,BSIV,PETROL,SILKY SILVER,MOTOR CAR,01/12/2018,5,false
abd9b04ea3f03c65b520a9a2b072ba3e5c85ccd7c91d34756745b8d0db835071,ACTIVA-5GWEAS,KS DCBK(CBS)WSHEET WHEEL BSIV,BSIV,PETROL,BLACK,MOTOR CYCLE,01/09/2018,2,false
abe544ba0286bfc5b51bc1adeac9d1577c7e5ec399398d373a592721d44c5af6,5TONS 2WHEELER WATER TANKER,TRAILER/TIPPER/TRACTOR/TANKER,UNKNOWN,UNKNOWN,YELLOW,Trailer For Commercial Use,01/12/2018,0,false
abe57b4ce7d2ec0088022bcf7e044a59953a8936abee6f1876190ac5349098a5,MARUTI,CELERIO ZXI-AMT BSIV,BSIV,PETROL,METALLIC GLISTENIG GREY,MOTOR CAR,01/11/2018,5,false
ac01849ae8eaa5c50935c463d96de4ea704c17e0568609e6cbe84c08b80a6e73,MARUTI-VITARA,BREEZA ZDI+ AMT BSIV,BSIV,DIESEL,PEARL ARCTIC WHITE,MOTOR CAR,01/11/2018,5,false
ac08f9c8644053b3039c22118d1a927c00c5f1f0b1a313ec6fbba405cc96acce,MAHINDRA,275 DI (BRAND NAME BHOOMIPUTRA) BSIIIA,BSIIIA,DIESEL,RED,Tractor for Commercial Use,01/12/2018,1,false
