MANUFACTURER_ID,MAKER_NAME
47910f60aaf7619954a0101ecccaa1625d8f8e3311085d7c9c9bb5878444e69c,JYOTHI ENGG WORKS VIKARABAD
48ea275c921111162a2626f9c8d44bce068b88ac9e701f63ca03f02ed6046090,M/S SRI LAXMI NARASIMHA INDUSTRIES
4918b51726f14871c1697d5770d290a67d24831c59c671c85cc40f0d065a8650,TIRUMALA TRALLY WORKS NIRMAL
4949f549566a45e7696f0532d525212162ecfcd71ae0cfafe36a20e0169af5d3,M/S SRI MALLIKARJUNA ENGINEERING WORKS
4bfcd9cbcc477de80cbe76943c8fc2b339db51f9c3d52cb656c574a80c859f58,SRI RAMA TRALLY INDUST KNR
4c395341536e3281f9265dd04c6660251923f8dc8557ebe77ae243f6e0cb19c7,M/S SRI SAI KRISHNA INDUSTRIES
4c903a108dc3aff374ca874c85e7651f4a5a9985a6f5a4536a98a5b570c77d7b,MLR AUTO  LTD BALANAGAR
4f0b60f4689f38e2acef514a51eccbd9949f2605425eefbe6a96e0fc57142f6f,M/S SRI BEEMESHWARA ENGINEERING WORKS
4f0fb0438dfd6a293237d812b2d5e2dbc9f613d41da8bfac0ca9c5cfa5d3b567,MAHINDRA TWO WHEELERS LIMITED
4f770c15784c63c01b7df02f449928fa8c78e1fdf2818a83f3b3efe729d66e46,M/S VINAY AUTO TECH PVT LTD
5094ea404b73985d119a76576fb13357192c66800b42e2b1d7d56a2928247887,M/S SALAM ENGINEERING WORKS
529d22ef985fbef46706e63ac5b903aeff75be5b7e67f159729502c6442cf4c0,"M/S SRI RAJENDRA INDUSTIRES, SURYAPET"
53121838070da9b4417ab35fdf39cdad4b3f93436f00e384b59986be34f313aa,M/S SRI SAI LAXMI GENERAL ENGINEERING WORKS
537831e4a4986ab787cd69b52bb6151a2bcbd3ac4bc6f638859900f9f291035b,M/S AL-KHADEER ENGINEERING WORKS
53ef03c2c9c824930a67d9dfe5b100894d90793d1c9f4d7278e92ab28013ad07,"M/S VENKATARAMANA AGRO AGENCY,METPALLY"
5403b58b4ceb67059449e586ee039a4a16fb3ac6182154555d2be90bf9ac7f5e,M/S SRI SRINIVASA AGRO WORKS
550e7625f0dcae7807c74d0f70f5c711ff360747bbf1a6c1c37694f5bbe17b93,M/S SRI VIJAYA DURGA GENRAL ENGINEERING WORKS KHMM
553e8067fc3f14970143f79f9c9fb89fd43647c29c98c8bb0f483b1fd788cfee,M/S HANUMAN ENGINEERING
5579ad4498f2f261984c6838676ac02059fd527fd7a0d7d6934b88d8e3bf79a5,M/S SRI SAI ENGINEERING WORKS NLG
5587211187625178574ae30bb2d6e5c484c1e68c1763a23002dc56ef1a7d7343,FORD MOTORS COMPANY
